Emotion,Pleasure,Arousal,Dominance,Mood,Intensity,EmotionPleasure,EmotionArousal,EmotionDominance
None,0.305,0.685,0.268,Exuberant,moderate
joy,0.338364,0.701682,0.276341,Exuberant,moderate,0.4,0.2,0.1
satisfaction,0.554564,0.841643,0.306495,Exuberant,fully,0.469136,0.303704,0.0654321
hope,0.800985,1,0.331445,Exuberant,fully,0.410334,0.281046,0.0292877
resentment,1,1,0.349051,Exuberant,fully,0.388007,0.259791,0.0209002
reproach,1,1,0.36783,Exuberant,fully,0.366313,0.266952,0.0276388
shame,1,1,0.386103,Exuberant,fully,0.355078,0.264137,0.017056
liking,1,1,0.42577,Exuberant,fully,0.342792,0.227522,0.0578664
pride,1,1,0.490741,Exuberant,fully,0.342792,0.227522,0.0578664
reproach,1,1,0.555758,Exuberant,fully,0.342639,0.227585,0.0579122
