Emotion,Pleasure,Arousal,Dominance,Mood,Intensity,EmotionPleasure,EmotionArousal,EmotionDominance,,,x,y
None,0.819,0.743,0.668,Exuberant,fully,,,,,,,
joy,0.854747,0.760874,0.676937,Exuberant,fully,0.4,0.2,0.1,,2.292558,0.854747,0.760874
satisfaction,0.890495,0.778747,0.685874,Exuberant,fully,0.4,0.2,0.1,,2.355116,0.890495,0.778747
hope,0.956463,0.821532,0.687666,Exuberant,fully,0.308377,0.2,0.00837721,,2.465661,0.956463,0.821532
resentment,1,0.864316,0.689458,Exuberant,fully,0.308377,0.2,0.00837721,,2.553774,1,0.864316
reproach,1,0.9071,0.69125,Exuberant,fully,0.308377,0.2,0.00837721,,2.59835,1,0.9071
shame,0.924826,0.856931,0.584989,Exuberant,fully,0.0776893,0.162081,-0.222311,,2.366746,0.924826,0.856931
liking,0.718565,0.664976,0.451692,Exuberant,fully,0.185471,0.131983,-0.017565,,1.835233,0.718565,0.664976
pride,0.963478,0.850511,0.498876,Exuberant,fully,0.250892,0.190064,0.0483357,,2.312865,0.963478,0.850511
reproach,1,1,0.54606,Exuberant,fully,0.250892,0.190064,0.0483357,,2.54606,1,1
